smiles,MUV-600
COc1cc2c(cc1NC(=O)CN1C(=O)NC3(CCc4ccccc43)C1=O)oc1ccccc12,0.0
O=C1/C(=C/NC2CCS(=O)(=O)C2)c2ccccc2C(=O)N1c1ccccc1,0.0
CCc1cccc2c1NC(=O)C21C2C(=O)N(Cc3ccccc3)C(=O)C2C2CCCN21,0.0
CCn1cnc2c1c(=O)n(CC(=O)Nc1cc(C)on1)c(=O)n2Cc1ccccc1,0.0
O=C(NCc1ccco1)c1csc(Nc2ccccc2Cl)n1,0.0
COc1ccccc1Nc1nc2c(s1)CCC2,0.0
O=C(NCCNC(=O)C(c1ccccc1)c1ccccc1)c1ccco1,0.0
COc1ccc(S(=O)(=O)NCC(=O)N(CC(=O)NCC2CCCO2)c2ccccc2)cc1,0.0
COc1ccccc1NC(=O)C1=C(C)N=C2N=CNN2C1c1ccc(C)o1,0.0
O=C1c2cccnc2C(=O)N1c1cccc(-c2nc3ccccc3o2)c1,0.0
O=C(Cc1cc(=O)oc2cc(O)ccc12)NCC1CCC(C(=O)O)CC1,0.0
CCCS(=O)(=O)c1c(S(=O)(=O)CCC)c2c3ccccc3ccn2c1C(N)=O,0.0
Cc1[nH]nc(NC=C2C(=O)N(C)C(=O)N(C)C2=O)c1-c1ccccc1,0.0
Cc1ccc(S(=O)(=O)NC(=O)Nn2c(C)nnc2C)cc1,0.0
CCOCC(=O)Nc1c(C(=O)OCC)oc2ccccc12,0.0
COc1ccc(OC)c(-n2c(C)nc3cc(C(=O)O)ccc32)c1,0.0
Cc1ccc2c(c1)nnn2C1CCN(S(=O)(=O)c2cccc(S(=O)(=O)N(C)C)c2)CC1,0.0
Clc1ccc2oc(-c3ccccn3)nc2c1,0.0
Cc1cc(NC(=O)c2cccnc2)ccc1NC(=O)c1ccco1,0.0
CCCOc1ccc(C(=O)NCc2cccnc2)cc1,0.0
COC(=O)c1ccccc1NC(=O)CN1CCC(n2nnc3cc(F)ccc32)CC1,0.0
CCn1c(=O)cc(OCC(=O)N2CCCC2)c2ccccc21,0.0
COC(=O)C1=C/C(=C2/C=Nc3ccccc32)NN1,0.0
COc1ccc(CCn2c(N3CCN(Cc4ccccc4)CC3)nc3c2c(=O)[nH]c(=O)n3C)cc1,0.0
COc1cccc(N2CCN(C3OC(=O)c4ccccc43)CC2)c1,0.0
CCOCCCn1cnc2c(c1=O)c1nc3ccccc3nc1n2-c1ccc(C)cc1,0.0
O=C(NC12CC3CC(CC(C3)C1)C2)N1CCC(O)(c2ccc3c(c2)OCO3)CC1,0.0
CCCCOc1ccc(-c2ncc(C(=O)OCC)c(N)n2)cc1,0.0
COc1ccc(CC(=O)N2CC3(C)CC2CC(C)(C)C3)cc1OC,0.0
CCOC(=O)CSC(C)C(=O)Nc1nnc(C(C)C)s1,0.0
c1ccc(-c2nnc(CSc3nnc(-c4cccs4)o3)o2)cc1,0.0
O=C(NCCN1CCOCC1)C1CCC(=O)N1Cc1ccccc1Cl,0.0
Cc1cc(=O)n2nc(N3CCCC3C(=O)NCCCN3CC(C)CC(C)C3)sc2n1,0.0
COc1ccccc1CNC(=O)C1CCN(Cc2nc(-c3cccc(Cl)c3)oc2C)CC1,0.0
O=c1oc2cc(OCc3nn[nH]n3)ccc2c2c1CCCC2,0.0
CCOc1cc(-c2noc(-c3cccnc3)n2)ccc1OC,0.0
CC(=O)N(Cc1cccnc1)Cc1cc2ccc(C)cc2[nH]c1=O,0.0
