smiles,MUV-810
Cc1cccc(N2CCN(C(=O)C34CC5CC(CC(C5)C3)C4)CC2)c1C,0.0
O=C(O)c1ccc(S(=O)(=O)N2CCC(c3nc(-c4ccccc4Cl)no3)CC2)cc1,0.0
O=C(NCc1ccco1)c1csc(Nc2ccccc2Cl)n1,0.0
CN(C)C1(c2nnnn2-c2ccc(Cl)cc2)CCCCC1,0.0
CCOC(=O)C1=C(C)NC(=O)NC1c1ccc(N(C)C)cc1,0.0
Cc1c(C(=O)Nc2c(C)n(C)n(-c3ccccc3)c2=O)oc2ccccc12,0.0
CCCn1c2ccc(/C(C)=N/O)cc2c2cc(/C(C)=N/O)ccc21,0.0
COCCCNc1ncnc2c1[nH]c1ccccc12,0.0
Cc1nc(NC(=O)/C=C/c2ccccc2)sc1C(=O)Nc1ccccc1Cl,0.0
COc1cc(C)c(CN2CCN(c3ccccc3)CC2)cc1C,0.0
CCOCC(=O)Nc1c(C(=O)OCC)oc2ccccc12,0.0
COc1ccc(C2C(C(=O)N3CCN(c4ccccn4)CC3)CC(=O)N2c2ccc(OC)cc2)cc1,0.0
COc1ccc(N2CC(C(=O)Nc3ccccc3C(=O)NCc3ccco3)CC2=O)cc1,0.0
O=C(Nc1ccc(Oc2cccc3ccccc23)cc1)c1ccco1,0.0
Cc1ccc(NC(=O)C2CCCN(c3ncccn3)C2)cc1F,0.0
COc1cccc2cc(C(=O)NCc3ccco3)/c(=N/c3ccc(C(=O)O)cc3)oc12,0.0
Cc1cccc(Oc2nc(-c3cccc([N+](=O)[O-])c3)nc3ccccc23)c1C,0.0
Cc1cc(C)c(NC(=O)CS(=O)CC(=O)N2CCN(c3ccccc3)CC2)c(C)c1,0.0
c1ccc(NC2=Nc3ccccc3CC2)cc1,0.0
O/N=C1C(=C\c2ccccc2)/N2CCC/1CC2,0.0
COc1cccc(N2CCN(C3OC(=O)c4ccccc43)CC2)c1,0.0
CCOCCCn1cnc2c(c1=O)c1nc3ccccc3nc1n2-c1ccc(C)cc1,0.0
COc1ccc(OC)c(NC(=O)NC(Cc2ccccc2)C(=O)O)c1,0.0
O=C(O)c1cccc(CSc2nnc(-c3ccco3)o2)c1,0.0
C=CCn1c(CSc2nc3ccccc3s2)nnc1SCC(=O)NCc1ccco1,0.0
O=C(Nc1cccc2ccccc12)c1ccc(Br)o1,0.0
O=C(NC12CC3CC(CC(C3)C1)C2)N1CCC(O)(c2ccc3c(c2)OCO3)CC1,0.0
CNc1nc(-c2ccccc2)nc(-c2ccccc2)c1C#N,0.0
CCOC(=O)c1cnc(SCc2ccccc2)nc1N,0.0
CCn1c2ccccc2c2cc(NC(=O)C(C)Oc3ccccc3)ccc21,0.0
CCOC(=O)N1CCC(NC(=O)c2ccc3c(c2)N(Cc2ccc(C)cc2)CCS3)CC1,0.0
Cn1c(CCNC(=O)c2ccccc2)nc2cc(NC(=O)c3ccco3)ccc21,0.0
COc1ccccc1-c1nn2c(C(F)(F)F)nnc2s1,0.0
CCOC(=O)C(C)Oc1cccc2c(=O)n(CC(=O)Nc3ccc4c(c3)OCCO4)ccc12,0.0
CCn1c(COc2ccc3c(c2)CCCC3)nnc1SCC(=O)Nc1nccs1,0.0
Brc1ccc(CN2CCSCC2)cc1,0.0
Cn1c(=O)oc2cc(S(=O)(=O)NCCC(=O)N3CCc4ccccc43)ccc21,0.0
CCOC(=O)C1(Nc2nccs2)Sc2ccccc2NC1=O,0.0
O=C1NC(Cc2c[nH]c3ccccc23)C(=O)N1CCOc1ccccc1,0.0
O=C(NC1CCCCC1)c1ccc(CN2CCOCC2)cc1,0.0
O=C(Cn1nc(-c2ccc(N3CCOCC3)c([N+](=O)[O-])c2)c2ccccc2c1=O)N1CCCCC1,0.0
O=C1CN(C(=O)C2CC2)c2ccccc2N1,0.0
CCOC(=O)c1nn(-c2c(C)n(C)n(-c3ccccc3)c2=O)cc1O,0.0
Cn1c(=O)cc(OCCCC(=O)N2CCN(Cc3ccc4c(c3)OCO4)CC2)c2ccccc21,0.0
CC1CCN(S(=O)(=O)c2ccc3[nH]c(=O)cc(C(=O)O)c3c2)CC1,0.0
Cc1sc2ncn(CC(=O)NCc3ccccn3)c(=O)c2c1S(=O)(=O)N1CCOCC1,0.0
CCOC(=O)C(CC)Sc1nnc2cc(C)c3ccccc3n12,0.0
Cc1ccc(S(=O)(=O)NC2=NC3=NC(=O)CC(c4ccc(Cl)cc4)N3N2)cc1,0.0
